null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
null null null
3043057677 |(-9.73148, 223.249, 81.4612)| |(-0.0365484, -0.963122, -0.266573)|
3043066703 |(-3.40907, 219.118, 79.4953)| |(-0.0176498, -0.969392, -0.244884)|
3043075747 |(2.18583, 214.619, 76.2569)| |(0.00270472, -0.975988, -0.217807)|
3043084754 |(8.43664, 209.744, 72.4603)| |(0.0246484, -0.979535, -0.199759)|
3043093812 |(15.4412, 204.509, 68.2685)| |(0.0488043, -0.981792, -0.183581)|
3043102901 |(22.9418, 199.204, 63.7015)| |(0.075187, -0.982599, -0.169842)|
3043111868 |(30.9739, 193.652, 58.328)| |(0.101924, -0.982161, -0.158024)|
3043120984 |(39.6342, 188.334, 52.4753)| |(0.127604, -0.980705, -0.148106)|
3043129873 |(48.6203, 183.431, 46.317)| |(0.149922, -0.979159, -0.137006)|
3043138949 |(57.9575, 179.186, 39.7471)| |(0.171078, -0.977094, -0.126567)|
3043148189 |(67.428, 175.596, 32.7692)| |(0.188783, -0.975319, -0.114512)|
3043157147 |(76.5666, 172.955, 25.5381)| |(0.200344, -0.97455, -0.100574)|
3043166131 |(85.7698, 171.314, 18.3868)| |(0.207907, -0.974366, -0.0859364)|
3043175240 |(94.3605, 170.722, 10.98)| |(0.211331, -0.974592, -0.0742291)|
3043184281 |(102.656, 171.474, 4.05888)| |(0.212159, -0.975035, -0.0655437)|
3043193217 |(110.223, 173.367, -2.27918)| |(0.212138, -0.975237, -0.0625323)|
3043202253 |(116.982, 176.444, -8.26399)| |(0.209205, -0.975898, -0.0620935)|
3043211248 |(122.62, 180.396, -13.7265)| |(0.206455, -0.976282, -0.0651973)|
3043220401 |(127.244, 185.222, -18.5788)| |(0.20135, -0.977061, -0.0693553)|
3043229379 |(130.932, 191.039, -23.0091)| |(0.195437, -0.977613, -0.0779541)|
3043238362 |(133.347, 197.228, -26.9494)| |(0.18875, -0.977921, -0.0896902)|
3043247372 |(134.585, 203.715, -30.2257)| |(0.180375, -0.978198, -0.102926)|
3043256500 |(134.476, 210.34, -33.0941)| |(0.16968, -0.978006, -0.121298)|
3043265551 |(133.016, 217.271, -35.369)| |(0.157874, -0.977474, -0.140071)|
3043274486 |(130.728, 223.489, -36.6338)| |(0.145134, -0.976896, -0.156879)|
3043283587 |(126.8, 229.83, -37.0898)| |(0.126943, -0.975466, -0.179863)|
3043292665 |(122.292, 235.237, -36.932)| |(0.109108, -0.973562, -0.20068)|
3043301700 |(116.313, 240.643, -35.412)| |(0.0908173, -0.970254, -0.224408)|
3043310765 |(108.97, 245.403, -33.0719)| |(0.0742252, -0.966572, -0.245417)|
3043319748 |(100.246, 249.821, -29.9999)| |(0.050647, -0.963457, -0.263033)|
3043328802 |(90.9051, 253.693, -26.1598)| |(0.0238839, -0.959563, -0.280478)|
3043338112 |(80.9861, 256.511, -20.167)| |(0.00475337, -0.957829, -0.287298)|
3043346886 |(70.3884, 258.472, -13.8463)| |(-0.0134955, -0.954227, -0.298779)|
3043355867 |(58.8808, 259.906, -7.38433)| |(-0.0322345, -0.950868, -0.307915)|
3043364980 |(46.9465, 260.632, -0.0841856)| |(-0.0441647, -0.94875, -0.312925)|
3043374008 |(35.0461, 260.628, 7.55055)| |(-0.0506571, -0.944333, -0.325068)|
3043383124 |(23.4378, 259.909, 15.7494)| |(-0.0597924, -0.942543, -0.32869)|
3043392047 |(12.025, 258.689, 24.3317)| |(-0.0642264, -0.939692, -0.335937)|
3043401142 |(1.16435, 257.204, 33.8945)| |(-0.071839, -0.939519, -0.334878)|
3043410296 |(-8.59358, 255.063, 43.6934)| |(-0.0714577, -0.939012, -0.336378)|
3043419238 |(-17.4408, 252.47, 53.5377)| |(-0.066845, -0.939171, -0.336881)|
3043428368 |(-24.5674, 249.641, 64.1086)| |(-0.0593948, -0.939654, -0.336931)|
3043437246 |(-30.4989, 246.899, 74.8036)| |(-0.0515637, -0.939505, -0.338631)|
3043446200 |(-33.2283, 243.739, 86.1021)| |(-0.0468344, -0.941557, -0.333583)|
3043455363 |(-35.9453, 240.529, 97.178)| |(-0.0440265, -0.941633, -0.33375)|
3043464367 |(-37.3449, 237.768, 107.157)| |(-0.044998, -0.941533, -0.333904)|
3043473670 |(-39.41, 235.245, 116.177)| |(-0.0456534, -0.9431, -0.32936)|
3043482498 |(-41.0826, 233.291, 123.587)| |(-0.0429166, -0.949043, -0.312211)|
3043491481 |(-42.5374, 231.396, 130.615)| |(-0.0316714, -0.955338, -0.293814)|
3043500533 |(-42.3885, 229.063, 136.919)| |(-0.0214742, -0.958916, -0.282876)|
3043509576 |(-40.6375, 226.721, 142.859)| |(-0.0105377, -0.959648, -0.281008)|
3043518627 |(-37.8601, 223.709, 148.689)| |(-0.00410826, -0.958971, -0.283475)|
3043527618 |(-32.3755, 220.342, 154.547)| |(0.00430566, -0.94407, -0.329716)|
3043536634 |(-27.1206, 216.947, 159.695)| |(0.018862, -0.934545, -0.355345)|
3043545743 |(-22.7894, 213.138, 163.276)| |(0.0292762, -0.92909, -0.368693)|
3043554751 |(-19.7243, 209.366, 166.346)| |(0.0377535, -0.942369, -0.332438)|
